,code_module,sum_click,final_result,gender,age_band,highest_education,year,semester,is_recent_year,semester_numeric,years_since_start,is_pass,is_distinction,is_withdrawn,is_fail,academic_success,participation_level,log_sum_click
code_module,1.0,0.14600323233395393,-0.02211929896696274,0.36295125685852736,-0.26004443121170473,0.16041774203984635,-0.11422661170510302,0.058959847364944654,-0.11422661170508669,0.05895984736494471,-0.11422661170508669,0.18085398378308667,-0.08566767652883073,-0.16181672233223512,0.06663041507797915,0.08243376017461665,-0.21541107637374615,0.12698761410022558
sum_click,0.14600323233395393,1.0,-0.1203357384831387,0.12014152890004781,0.15347879252687197,0.02316959696197262,-0.05744221610782555,-0.03469846597687096,-0.05744221610781381,-0.034698465976871054,-0.05744221610781381,-0.04811811471521186,0.1443543441456358,-0.059116540935831886,-0.03711968849459209,0.08334301945117487,-0.45377204286591066,0.9782005918131788
final_result,-0.02211929896696274,-0.1203357384831387,1.0,-0.14762246443261262,-0.07751505460868327,0.28697202159177576,0.18093250921277657,-0.14322297480788673,0.18093250921276022,-0.143222974807886,0.18093250921276022,0.25819888974716115,-0.7745966692414832,0.7745966692414833,-0.2581988897471611,-0.44721359549995815,0.19042894824443762,-0.1080172879747116
gender,0.36295125685852736,0.12014152890004781,-0.14762246443261262,1.0,-0.025778104344530525,0.0595217390271196,-0.0012841203320078166,0.014908475227539238,-0.001284120332017495,0.014908475227539209,-0.001284120332017495,0.01465998323778473,0.07329991618892377,-0.16125981561563232,0.0732999161889238,0.07617550741785391,-0.14738667966682112,0.08194365745601148
age_band,-0.26004443121170473,0.15347879252687197,-0.07751505460868327,-0.025778104344530525,1.0,-0.07425692843718383,-0.1114486077284061,0.025111523518521018,-0.11144860772839933,0.02511152351852101,-0.11144860772839933,0.014295929313323288,0.014295929313323318,-0.10007150519326286,0.07147964656661629,0.024761275912089206,-0.18368148558879682,0.11774510371621007
highest_education,0.16041774203984635,0.02316959696197262,0.28697202159177576,0.0595217390271196,-0.07425692843718383,1.0,-0.019206051916737885,-0.056618706056795656,-0.01920605191675117,-0.05661870605679541,-0.01920605191675117,-0.14365523366391852,-0.2646280620124816,0.3099928726431928,0.0982904230332073,-0.3535837059965958,0.002641407208516242,-0.014780986925838147
year,-0.11422661170510302,-0.05744221610782555,0.18093250921277657,-0.0012841203320078166,-0.1114486077284061,-0.019206051916737885,1.0,-0.05668620170699379,1.0000000000000004,-0.05668620170699366,1.0000000000000004,-0.029197858123696862,-0.0875935743710144,0.2043850068658695,-0.08759357437115825,-0.10114434748479532,0.03286805380083464,-0.060188288057448074
semester,0.058959847364944654,-0.03469846597687096,-0.14322297480788673,0.014908475227539238,0.025111523518521018,-0.056618706056795656,-0.05668620170699379,1.0,-0.05668620170698381,1.0,-0.05668620170698381,0.15408338784034137,0.09245003270420502,-0.21571674297647803,-0.030816677568068312,0.2135042050734496,0.04904499205005797,-0.05140230808367049
is_recent_year,-0.11422661170508669,-0.05744221610781381,0.18093250921276022,-0.001284120332017495,-0.11144860772839933,-0.01920605191675117,1.0000000000000004,-0.05668620170698381,1.0,-0.05668620170698373,1.0,-0.02919785812368921,-0.08759357437106749,0.20438500686582436,-0.0875935743710676,-0.10114434748483467,0.032868053800847834,-0.06018828805745038
semester_numeric,0.05895984736494471,-0.034698465976871054,-0.143222974807886,0.014908475227539209,0.02511152351852101,-0.05661870605679541,-0.05668620170699366,1.0,-0.05668620170698373,1.0,-0.0566862017069837,0.15408338784034162,0.09245003270420428,-0.21571674297647764,-0.030816677568068187,0.21350420507344914,0.04904499205005816,-0.05140230808367059
