,code_module,code_presentation,id_student,id_site,date,sum_click,activity_level,created_at,updated_at,final_result,gender,age_band,highest_education,year,semester,is_recent_year,semester_numeric,years_since_start,final_result_original,is_pass,is_distinction,is_withdrawn,is_fail,academic_success,participation_level,log_sum_click
count,80.0,80,80.0,80.0,80.0,80.0,80,80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0
unique,,4,80.0,71.0,64.0,,3,,,,,,,,,,,,4,,,,,,,
top,,2014J,589411.0,673519.0,8.0,,Low,,,,,,,,,,,,Distinction,,,,,,,
freq,,30,1.0,4.0,4.0,,74,,,,,,,,,,,,20,,,,,,,
mean,2.475,,,,,3.11875,,2025-07-04 18:39:38.700000,2025-07-04 18:39:38.700000,1.5,0.5875,0.2875,1.0375,2013.575,0.675,0.575,1.675,0.575,,0.25,0.25,0.25,0.25,0.5,0.9625,1.2395363754545081
min,0.0,,,,,1.0,,2025-07-04 18:36:03,2025-07-04 18:36:03,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453
25%,1.0,,,,,1.0,,2025-07-04 18:37:41.249999872,2025-07-04 18:37:41.249999872,0.75,0.0,0.0,0.0,2013.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453
50%,2.0,,,,,2.0,,2025-07-04 18:39:32,2025-07-04 18:39:32,1.5,1.0,0.0,1.0,2014.0,1.0,1.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.5,1.0,1.0986122886681098
75%,4.0,,,,,4.0,,2025-07-04 18:41:35.249999872,2025-07-04 18:41:35.249999872,2.25,1.0,1.0,2.0,2014.0,1.0,1.0,2.0,1.0,,0.25,0.25,0.25,0.25,1.0,1.0,1.6094379124341003
max,5.0,,,,,8.5,,2025-07-04 18:43:37,2025-07-04 18:43:37,3.0,1.0,2.0,3.0,2014.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.2512917986064953
std,1.5259361102805804,,,,,2.641254676441252,,,,1.125087900926024,0.4953901416106939,0.5080055317151226,0.9605345294566359,0.49746191254243755,0.47132992556613373,0.4974619125424375,0.47132992556613373,0.4974619125424375,,0.4357446703305951,0.4357446703305951,0.4357446703305951,0.4357446703305951,0.5031546054266276,0.5612767994221927,0.5758805493405679
